Source,Latitude,Longitude
Afghanistan,33.7680065,66.2385139
Albania,11.2448034,-72.51609707
Algeria,28.0000272,2.9999825
Andorra,42.5407167,1.5732033
Angola,-11.8775768,17.5691241
Antigua and Barbuda,17.2234721,-61.9554608
Azerbaijan,40.3936294,47.7872508
Argentina,-34.9964963,-64.9672817
Australia,-24.7761086,134.755
American Samoa,-14.271,-170.1332
Austria,47.59397,14.12456
Bahamas,24.7736546,-78.0000547
Bahrain,26.1551249,50.5344606
Bangladesh,-0.2864982,36.0514231
Armenia,4.536307,-75.6723751
Barbados,13.1500331,-59.5250305
Belgium,50.6402809,4.6667145
Bermuda,32.2937417,-64.7815286
Bolivia,-17.0568696,-64.9912286
Bosnia Herzegovina,44.3053476,17.5961467
Botswana,-23.1681782,24.5928742
Brazil,-10.3333333,-53.2
Belize,17.1204943,-88.6859028
British Indian Ocean Territory,-5.34970935,71.86064227
Brunei Darussalam,4.4137155,114.5653908
Bulgaria,42.6073975,25.4856617
Myanmar,17.1750495,95.9999652
Burundi,-3.426449,29.9324519
Belarus,53.4250605,27.6971358
Cambodia,12.5433216,104.8144914
Cameroon,4.6125522,13.1535811
Canada,61.0666922,-107.991707
Cabo Verde,16.0000552,-24.0083947
Cayman Islands,19.70318225,-79.91746272
Sri Lanka,7.5554942,80.7137847
Chile,-31.7613365,-71.3187697
China,35.000074,104.999927
Colombia,4.099917,-72.9088133
"Congo, Republic",1.40397195,103.7909392
"Congo, Democratic Republic",-2.9814344,23.8222636
Costa Rica,10.2735633,-84.0739102
Croatia,45.3658443,15.6575209
Cuba,23.0131338,-80.8328748
Cyprus,34.9174159,32.88990265
Czech Republic,49.7439047,15.3381061
Benin,9.5293472,2.2584408
Denmark,55.670249,10.3333283
Dominican Republic,19.0974031,-70.3028026
Ecuador,-1.3397668,-79.3666965
El Salvador,13.8000382,-88.9140683
Equatorial Guinea,1.613172,10.5170357
Ethiopia,10.2116702,38.6521203
Eritrea,15.9500319,37.9999668
Estonia,58.7523778,25.3319078
Faeroe Islands,62.0448724,-7.0322972
Falkland Islands (Malvinas),-51.9492937,-59.5383657
Fiji,-18.1239696,179.0122737
Finland,63.2467777,25.9209164
France,46.603354,1.8883335
Gabon,-0.8999695,11.6899699
Georgia,32.3293809,-83.1137366
Gambia,13.470062,-15.4900464
State of Palestine,31.76296362,34.93849538
Germany,51.1638175,10.4478313
Ghana,8.0300284,-1.0800271
Gibraltar,36.1285933,-5.3474761
Greece,43.2097838,-77.6930602
Grenada,12.1360374,-61.6904045
Guam,13.45011745,144.7577088
Guatemala,15.5855545,-90.345759
Guinea,10.7226226,-10.7083587
Guyana,4.8417097,-58.6416891
Haiti,19.1399952,-72.3570972
Honduras,15.2572432,-86.0755145
"China, Hong Kong SAR",22.350627,114.1849161
Hungary,47.1817585,19.5060937
Iceland,64.9841821,-18.1059013
Indonesia,-2.4833826,117.8902853
Iran,32.6475314,54.5643516
Iraq,33.0955793,44.1749775
Ireland,52.865196,-7.9794599
Israel,30.8124247,34.8594762
Italy,42.6384261,12.674297
Cote d'Ivoire,7.9897371,-5.5679458
Jamaica,18.1850507,-77.3947693
Japan,36.5748441,139.2394179
Kazakhstan,48.1012954,66.7780818
Jordan,44.6663146,-93.6261918
Kenya,1.4419683,38.4313975
"Korea, Republic",55.7530238,49.2438984
Kuwait,29.3796532,47.9734174
Kyrgyzstan,42.4858224,74.714583
Lebanon,40.375713,-76.4626118
Lesotho,-29.6039267,28.3350193
Latvia,56.8406494,24.7537645
Liberia,5.7499721,-9.3658524
Libya,26.8234472,18.1236723
Lithuania,55.3500003,23.7499997
Luxembourg,49.6112768,6.129799
"China, Macao SAR",22.1987,113.5439
Madagascar,-18.9249604,46.4416422
Malawi,-13.2687204,33.9301963
Malaysia,4.5693754,102.2656823
